Title,Year,Nomination,Awards
The King's Speech,2010,12,4
Inception,2010,8,4
The Social Network,2010,8,3
The Fighter,2010,7,2
Toy Story 3,2010,5,2
Alice in Wonderland,2010,3,2
Black Swan,2010,5,1
In a Better World,2010,1,1
The Lost Thing,2010,1,1
God of Love,2010,1,1
The Wolfman,2010,1,1
Strangers No More,2010,1,1
Inside Job,2010,1,1
The Artist,2011,10,5
Hugo,2011,11,5
The Iron Lady,2011,2,2
The Descendants,2011,5,1
The Girl with the Dragon Tattoo,2011,5,1
Midnight in Paris,2011,4,1
The Help,2011,4,1
A Separation,2011,2,1
The Fantastic Flying Books of Mr. Morris Lessmore,2011,1,1
The Shore,2011,1,1
Undefeated,2011,1,1
The Muppets,2011,1,1
Saving Face,2011,1,1
Beginners,2011,1,1
Rango,2011,1,1
Argo,2012,7,3
Life of Pi,2012,11,4
Les Misérables,2012,8,3
Lincoln,2012,12,2
Django Unchained,2012,5,2
Skyfall,2012,5,2
Silver Linings Playbook,2012,8,1
Zero Dark Thirty,2012,5,1
Amour,2012,5,1
Anna Karenina,2012,4,1
Paperman,2012,1,1
Brave,2012,1,1
Searching for Sugar Man,2012,1,1
Inocente,2012,1,1
Curfew,2012,1,1
12 Years a Slave,2013,9,3
Gravity,2013,10,7
Dallas Buyers Club,2013,6,3
Frozen,2013,2,2
The Great Gatsby,2013,2,2
Her,2013,5,1
Blue Jasmine,2013,3,1
Mr Hublot,2013,1,1
The Lady in Number 6: Music Saved My Life,2013,1,1
Helium,2013,1,1
The Great Beauty,2013,1,1
20 Feet from Stardom,2013,1,1
Birdman,2014,9,4
The Grand Budapest Hotel,2014,9,4
Whiplash,2014,5,3
The Imitation Game,2014,8,1
American Sniper,2014,6,1
Boyhood,2014,6,1
Interstellar,2014,5,1
The Theory of Everything,2014,5,1
Ida,2014,2,1
Selma,2014,2,1
Citizenfour,2014,1,1
Big Hero 6,2014,1,1
Crisis Hotline: Veterans Press 1,2014,1,1
The Phone Call,2014,1,1
Still Alice,2014,1,1
Feast,2014,1,1
Spotlight  ,2015,6,2
Mad Max: Fury Road ,2015,10,6
The Revenant   ,2015,12,3
Bridge of Spies,2015,6,1
The Big Short  ,2015,5,1
The Danish Girl,2015,4,1
Room   ,2015,4,1
Ex Machina ,2015,2,1
The Hateful Eight  ,2015,2,1
Inside Out ,2015,2,1
Amy,2015,1,1
Bear Story ,2015,1,1
A Girl in the River: The Price of Forgiveness  ,2015,1,1
Son of Saul,2015,1,1
Spectre,2015,1,1
Stutterer  ,2015,1,1
